,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
744,Haris Šveminas,Haris Šveminas,Lithuania,LTU,None,None,Male,1906-01-01,http://d2a3o6pzho379u.cloudfront.net/73219.jpg,234.29,#bd6060,"[188, 96, 96]"
745,Emmanuel Goldsmith,Emmanuel Goldsmith,Switzerland,SUI,None,None,Male,1909-10-21,None,brak zdj,brak zdj,brak zdj
746,Fernando Muñagorri Alcorta,Fernando Muñagorri,Spain,ESP,None,None,Male,1907-08-03,None,brak zdj,brak zdj,brak zdj
747,Eduardo Luis Albe,Eduardo Albe,Argentina,ARG,172,66,Male,1900-01-21,http://d2a3o6pzho379u.cloudfront.net/64382.jpg,237.74,#996669,"[152, 101, 104]"
748,Renos Frangoudis,Renos Frangoudis,Greece,GRE,170,None,Male,1909-02-27,http://d2a3o6pzho379u.cloudfront.net/70727.jpg,290.24,#c23934,"[194, 56, 51]"
749,Ronald Bertram Chesney Burns,Ronald Burns,India,IND,None,None,Male,1903-10-09,None,brak zdj,brak zdj,brak zdj
750,Georges Schmit,Georges Schmit,Luxembourg,LUX,None,None,Male,1904-08-17,None,brak zdj,brak zdj,brak zdj
751,Tormod Ulleberg,Tormod Ulleberg,Norway,NOR,None,None,Male,1904-07-30,None,brak zdj,brak zdj,brak zdj
752,Sándor Hajdu,Sándor Hajdu,Hungary,HUN,None,None,Male,1905-01-01,None,brak zdj,brak zdj,brak zdj
753,Robert Codrons,Robert Codrons,Luxembourg,LUX,None,None,Male,1905-01-01,None,brak zdj,brak zdj,brak zdj
754,Ilmari Herbert Helle,Ilmari Helle,Finland,FIN,None,None,Male,1900-01-16,None,brak zdj,brak zdj,brak zdj
755,Melvin Carson,Melvin Carson,Norway,NOR,None,None,Male,1906-04-10,None,brak zdj,brak zdj,brak zdj
756,Friedrich Wilhelm Otto Wichmann,Friedrich Wilhelm Wichmann,Germany,GER,None,None,Male,1901-08-31,None,brak zdj,brak zdj,brak zdj
757,Nikolaos Papanikolaou,Nikolaos Papanikolaou,Greece,GRE,175,None,Male,1911-02-24,None,brak zdj,brak zdj,brak zdj
758,Giuseppe Castelli,Giuseppe Castelli,Italy,ITA,170,None,Male,1907-10-05,http://d2a3o6pzho379u.cloudfront.net/71907.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
759,Helmut Alexander Karl Körnig,Helmut Körnig,Germany,GER,175,66,Male,1905-09-12,http://d2a3o6pzho379u.cloudfront.net/70371.jpg,277.05,#a34646,"[162, 70, 70]"
760,Jakob Schüller,Jakob Schüller,Germany,GER,177,72,Male,1905-06-26,http://d2a3o6pzho379u.cloudfront.net/70500.jpg,260.28,#a15a4d,"[161, 90, 76]"
761,"Henry Harford Cumming, Jr.",Henry Cumming,United States,USA,178,72,Male,1905-09-05,None,brak zdj,brak zdj,brak zdj
762,Björn Fredrik Arvid Kugelberg,Björn Kugelberg,Sweden,SWE,None,None,Male,1905-02-09,http://d2a3o6pzho379u.cloudfront.net/76240.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
763,Hermann Werner Arnold Schlöske,Hermann Schlöske,Germany,GER,178,64,Male,1905-06-24,None,brak zdj,brak zdj,brak zdj
764,"Charles Edward ""Charley"" Borah",Charley Borah,United States,USA,178,68,Male,1905-11-01,http://d2a3o6pzho379u.cloudfront.net/78129.jpg,297.61,#d32f2f,"[211, 46, 46]"
765,Guy Montagu Butler,Guy Butler,Great Britain,GBR,None,None,Male,1899-08-25,http://d2a3o6pzho379u.cloudfront.net/68934.jpg,267.83,#a24d4d,"[162, 77, 77]"
766,Jérôme Achille Mannaert,Jérôme Mannaert,France,FRA,None,None,Male,1902-02-22,None,brak zdj,brak zdj,brak zdj
767,"John Henry ""Jack"" Hambidge",Jack Hambidge,Great Britain,GBR,None,None,Male,1907-06-22,None,brak zdj,brak zdj,brak zdj
768,Lindsay Donald Edward Cullen,Donald Cullen,Ireland,IRL,None,None,Male,1908-05-14,None,brak zdj,brak zdj,brak zdj
769,François Gaston Prinsen,François Prinsen,Belgium,BEL,None,None,Male,1905-12-30,http://d2a3o6pzho379u.cloudfront.net/65269.jpg,252.07,#c15252,"[192, 82, 82]"
770,Hans Niggl,Hans Niggl,Switzerland,SUI,None,None,Male,1908-01-01,None,brak zdj,brak zdj,brak zdj
771,"Alejandro ""Alex"" Hannig Ulriksen",Alex Hannig,Chile,CHI,None,None,Male,1897-10-21,http://d2a3o6pzho379u.cloudfront.net/66375.jpg,290.21,#b13d36,"[176, 61, 53]"
772,Dragoš Stevanović,Dragoš Stevanović,Yugoslavia,YUG,176,71,Male,1912-10-08,None,brak zdj,brak zdj,brak zdj
773,István Sugár (Steinmetz-),István Sugár,Hungary,HUN,None,None,Male,1904-10-12,http://d2a3o6pzho379u.cloudfront.net/71288.jpg,269.92,#965c43,"[150, 91, 67]"
774,Vasilios Stavrinos,Vasilios Stavrinos,Greece,GRE,None,None,Male,1907-05-01,None,brak zdj,brak zdj,brak zdj
775,Fritz Krogh Nielsen,Fritz Krogh Nielsen,Norway,NOR,None,None,Male,1904-02-01,None,brak zdj,brak zdj,brak zdj
776,Emmanuel Gneftos,Emmanuel Gneftos,Greece,GRE,None,None,Male,1904-02-01,None,brak zdj,brak zdj,brak zdj
777,"Stephen Eugene ""Steve"" Anderson",Steve Anderson,United States,USA,190,77,Male,1906-04-10,http://d2a3o6pzho379u.cloudfront.net/78044.jpg,282.42,#d53a3a,"[212, 57, 57]"
778,John Sheldon Collier,John Collier,United States,USA,185,75,Male,1907-09-26,http://d2a3o6pzho379u.cloudfront.net/78249.jpg,318.94,#c62121,"[197, 33, 33]"
779,Leighton William Charles Dye,Leighton Dye,United States,USA,193,82,Male,1901-10-30,None,brak zdj,brak zdj,brak zdj
780,George Collinson Weightman-Smith,George Weightman-Smith,South Africa,RSA,185,73,Male,1905-10-31,http://d2a3o6pzho379u.cloudfront.net/75345.jpg,230.15,#ae6767,"[174, 102, 102]"
781,Eric Verner Wennström,Eric Wennström,Sweden,SWE,188,80,Male,1909-03-10,http://d2a3o6pzho379u.cloudfront.net/76444.jpg,269.64,#a34c4c,"[162, 75, 75]"
782,"Johannes ""Hans"" Steinhardt",Hans Steinhardt,Germany,GER,None,None,Male,1905-06-29,http://d2a3o6pzho379u.cloudfront.net/70528.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
783,Bengt Olof Albert Sjöstedt,Bengt Sjöstedt,Finland,FIN,182,73,Male,1906-11-02,http://d2a3o6pzho379u.cloudfront.net/67809.jpg,284.84,#8f4646,"[143, 69, 69]"
784,Carl Edwin Ring,Carl Ring,United States,USA,180,68,Male,1902-05-17,None,brak zdj,brak zdj,brak zdj
785,Robert Pierre René Marchand,Robert Marchand,France,FRA,None,None,Male,1904-08-18,http://d2a3o6pzho379u.cloudfront.net/68390.jpg,276.48,#a94545,"[169, 69, 69]"
786,Yoshio Miki,Yoshio Miki,Japan,JPN,None,None,Male,1905-06-06,None,brak zdj,brak zdj,brak zdj
787,Bernard Lucas,Bernard Lucas,Great Britain,GBR,None,None,Male,1907-08-17,None,brak zdj,brak zdj,brak zdj
788,Armand Jacques Lepaffe,Armand Lepaffe,Belgium,BEL,None,None,Male,1908-01-18,http://d2a3o6pzho379u.cloudfront.net/65233.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
789,Ludwig Vesely,Ludwig Vesely,Austria,AUT,None,None,Male,1903-08-20,http://d2a3o6pzho379u.cloudfront.net/64975.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
790,Albert Per Andersson,Albert Andersson,Sweden,SWE,None,None,Male,1902-04-25,None,brak zdj,brak zdj,brak zdj
791,"Alexander Forbes ""Alister"" Clark",Alister Clark,Ireland,IRL,None,None,Male,1903-11-06,None,brak zdj,brak zdj,brak zdj
792,Erik Torsten Hjalmar Kjellström,Erik Kjellström,Sweden,SWE,187,79,Male,1904-12-18,http://d2a3o6pzho379u.cloudfront.net/76235.jpg,246.71,#b25959,"[178, 89, 89]"
